Book Name,Views,Keyword 1,Keyword 2,Keyword 3,MC Gender,Release Year
Open Heart: Second Year,no stats,Medical,Drama,Doctors,GOC,2020
Witness: A Bodyguard Romance,no stats,Sexy,Bodyguard,Beach,Female,2020
Distant Shores,no stats,Pirates,Romance,Time Travel,GOC,2020
"The Nanny Affair, Book 1",no stats,Sexy,CEO,Nanny,Female,2020
"Queen B, Book 1",no stats,Sexy,College,Gossip,Female,2020
My Two First Loves,no stats,Romance,Teen,Drama,Female,2020-2021
"The Royal Heir, Book 3",no stats,Modern,Prince,Kingdom,Female,2020
Rising Tides,no stats,Activism,Family,Nature,Female,2020-2021
"Baby Bump, Book 2",no stats,Romance,Baby,Pregnancy,Female,2020-2021
Hot Couture,no stats,Fashion,Romance,Rivalry,Female,2019-2020
Foreign Affairs,no stats,Politics,Scandal,Romance,GOC,2020-2021
With Every Heartbeat,no stats,Romance,Tragedy,Hospital,Female,2019-2021
Open Heart: Third Year,no stats,Medical,Drama,Doctors,GOC,2021
"Laws of Attraction, Book 1",no stats,Romance,Lawyers,Drama,GOC,2021
A Very Scandalous Proposal,no stats,Tabloid,Aristocracy,Wedding,Female,2020-2021
"The Nanny Affair, Book 2",no stats,Sexy,CEO,Nanny,Female,2021
The Royal Finale,no stats,Modern,Prince,Kingdom,Female,2021
The Unexpected Heiress,no stats,Courtship,Nobility,Mystery,Female,2020-2021
"Queen B, Book 2",no stats,Sexy,College,Gossip,Female,2021-2022
Wolf Bride,no stats,Werewolf,Romance,Love-Triangle,Female,2020-2022
Shipwrecked,no stats,Sexy,Island,Adventure,GOC,2021-2022
Wake the Dead,no stats,Horror,Apocalypse,Zombies,GOC,2021-2022
Ms. Match,no stats,Matchmaker,Competition,Romance,Female,2020-2022
"Surrender, Book 1",no stats,Sexy,Billionaire,BDSM,Female,2021-2022
"Crimes of Passion, Book 1",no stats,Mystery,Sexy,Crime,GOC,2021-2022
"Untameable, Book 1",no stats,Romance,Steamy,Cowboy,GOC,2022
The Princess Swap,no stats,Twins,Princess,Romance,Female,2022
"The Cursed Heart, Book 1",no stats,Sexy,Dark,Fairytale,GOC,2022
"The Nanny Affair, Book 3",no stats,Sexy,CEO,Nanny,Female,2022
"Immortal Desires, Book 1",no stats,Vampire,Romance,High School,GOC,2022
Slow Burn,no stats,Romance,Cooking,Chef,GOC,2021-2022
Murder at Homecoming,no stats,Mystery,Young Adult,High School,GOC,2022
"Laws of Attraction, Book 2",no stats,Romance,Lawyers,Drama,GOC,2022-2023
The Phantom Agent,no stats,Spy,Mystery,Crime,GOC,2022-2023
"Surrender, Book 2",no stats,Sexy,Billionaire,BDSM,Female,2022-2023
Guinevere,no stats,Royalty,Knight,Fantasy,Female,2022-2023
Kiss of Death,no stats,Starcrossed,Mobster,Sexy,Female,2022-2023
Getaway Girls,no stats,Romance,Vacation,Family,Female,2023
Roommates with Benefits,no stats,Sexy,College,Roommates,Female,2023
